Loading data...
Will write to: digits_2000ep_60000ts_3l_45hu_.net
Creating network.
Training network.
Max epochs     2000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.2686105072. Bit fail 600000.
Epochs           20. Current error: 0.0919713080. Bit fail 60000.
Epochs           40. Current error: 0.0916118920. Bit fail 60000.
Epochs           60. Current error: 0.0991218016. Bit fail 64480.
Epochs           80. Current error: 0.1173924357. Bit fail 75368.
Epochs          100. Current error: 0.1320127994. Bit fail 87161.
Epochs          120. Current error: 0.1233059615. Bit fail 83885.
Epochs          140. Current error: 0.1012214124. Bit fail 66049.
Epochs          160. Current error: 0.0939904600. Bit fail 61742.
Epochs          180. Current error: 0.1092595160. Bit fail 71748.
Epochs          200. Current error: 0.1203578115. Bit fail 77865.
Epochs          220. Current error: 0.1012735218. Bit fail 66132.
Epochs          240. Current error: 0.0966059342. Bit fail 62938.
Epochs          260. Current error: 0.0921661779. Bit fail 60349.
Epochs          280. Current error: 0.0987454504. Bit fail 64578.
Epochs          300. Current error: 0.0933132693. Bit fail 62039.
Epochs          320. Current error: 0.0822036415. Bit fail 57415.
Epochs          340. Current error: 0.0847447589. Bit fail 62830.
Epochs          360. Current error: 0.0827232450. Bit fail 58024.
Epochs          380. Current error: 0.0820090622. Bit fail 64836.
Epochs          400. Current error: 0.0900453925. Bit fail 69171.
Epochs          420. Current error: 0.0714027956. Bit fail 52411.
Epochs          440. Current error: 0.0656590462. Bit fail 56014.
Epochs          460. Current error: 0.0613079555. Bit fail 51275.
Epochs          480. Current error: 0.0527080335. Bit fail 45021.
Epochs          500. Current error: 0.0477408022. Bit fail 40251.
Epochs          520. Current error: 0.0488685854. Bit fail 43696.
Epochs          540. Current error: 0.0429230407. Bit fail 38800.
Epochs          560. Current error: 0.0414408445. Bit fail 38995.
Epochs          580. Current error: 0.0406129993. Bit fail 39214.
Epochs          600. Current error: 0.0447809175. Bit fail 40422.
Epochs          620. Current error: 0.0353174917. Bit fail 33767.
Epochs          640. Current error: 0.0345115252. Bit fail 33664.
Epochs          660. Current error: 0.0330471173. Bit fail 33202.
Epochs          680. Current error: 0.0314588360. Bit fail 31875.
