          0     1     2     3     4     5     6     7     8     9 
    0   920     5     4     4     0     4    31     5     6     1 
    1     0  1083    12     3     1     0     8     5    22     1 
    2    15    48   852    21     6     1    28    15    43     3 
    3     3    11    32   821     3    64     9    21    39     7 
    4     2    13    14     6   747     1    41     9     8   141 
    5    12    26     7    39    27   673    22    11    46    29 
    6    12    71    21     2     4    21   822     1     4     0 
    7     2    27    23    10     7     0     5   905     6    43 
    8    16    18    11    13    21    41    19    16   780    39 
    9    11    20     6    17    37     6     4    71     5   832 
