          0     1     2     3     4     5     6     7     8     9 
    0   949     0     3     3     0     9     8     1     6     1 
    1     2  1088     6    12     0     3     3     2    19     0 
    2    14     2   884    32     8     3    17    15    51     6 
    3     6     3    16   903     0    37     2    14    22     7 
    4     0     3     4     3   878     2    10     4    16    62 
    5    25     2    16    55    23   696    22     6    43     4 
    6     9     3    11     7    14    16   885     1    11     1 
    7     2     8    19    20    11     3     0   919    15    31 
    8    12     8    10    28    17    36    11    15   820    17 
    9    10     6     1    19    37     8     1    37    17   873 
