Loading data...
Will write to: digits_5000ep_60000ts_3l_45hu_.net
Creating network.
Training network.
Max epochs     5000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.2681937814. Bit fail 600000.
Epochs           20. Current error: 0.0921271816. Bit fail 60000.
Epochs           40. Current error: 0.0916073099. Bit fail 60000.
Epochs           60. Current error: 0.0942397863. Bit fail 61592.
Epochs           80. Current error: 0.1170263141. Bit fail 75224.
Epochs          100. Current error: 0.1128206104. Bit fail 72933.
Epochs          120. Current error: 0.1113908067. Bit fail 72120.
Epochs          140. Current error: 0.0976531729. Bit fail 65471.
Epochs          160. Current error: 0.0899606720. Bit fail 59036.
Epochs          180. Current error: 0.0887182951. Bit fail 58400.
Epochs          200. Current error: 0.0972440615. Bit fail 66760.
Epochs          220. Current error: 0.1002043858. Bit fail 69297.
Epochs          240. Current error: 0.0947553441. Bit fail 66440.
Epochs          260. Current error: 0.0980006978. Bit fail 63743.
Epochs          280. Current error: 0.0902988389. Bit fail 59134.
Epochs          300. Current error: 0.1022416353. Bit fail 66465.
Epochs          320. Current error: 0.0916736126. Bit fail 60153.
Epochs          340. Current error: 0.0916025490. Bit fail 60477.
Epochs          360. Current error: 0.0919648930. Bit fail 60874.
Epochs          380. Current error: 0.0907855108. Bit fail 60281.
Epochs          400. Current error: 0.0993305072. Bit fail 66742.
Epochs          420. Current error: 0.0948830545. Bit fail 65226.
Epochs          440. Current error: 0.0924585983. Bit fail 63875.
Epochs          460. Current error: 0.0918126404. Bit fail 63305.
Epochs          480. Current error: 0.0964775160. Bit fail 66389.
Epochs          500. Current error: 0.0997085124. Bit fail 68729.
Epochs          520. Current error: 0.1022665799. Bit fail 69160.
Epochs          540. Current error: 0.1040648147. Bit fail 70044.
Epochs          560. Current error: 0.1001929939. Bit fail 67646.
Epochs          580. Current error: 0.1044960320. Bit fail 70927.
Epochs          600. Current error: 0.0936540067. Bit fail 64471.
Epochs          620. Current error: 0.0931609273. Bit fail 64729.
Epochs          640. Current error: 0.0851530433. Bit fail 59753.
Epochs          660. Current error: 0.0834368020. Bit fail 63584.
Epochs          680. Current error: 0.0830242857. Bit fail 64222.
Epochs          700. Current error: 0.0893186107. Bit fail 68324.
Epochs          720. Current error: 0.0958940461. Bit fail 72228.
Epochs          740. Current error: 0.0801638737. Bit fail 61637.
Epochs          760. Current error: 0.0796695799. Bit fail 61648.
Epochs          780. Current error: 0.0790968165. Bit fail 59464.
Epochs          800. Current error: 0.0770724341. Bit fail 67599.
Epochs          820. Current error: 0.0661785901. Bit fail 58064.
Epochs          840. Current error: 0.0602136068. Bit fail 60183.
Epochs          860. Current error: 0.0591189377. Bit fail 67773.
Epochs          880. Current error: 0.0525402687. Bit fail 60222.
Epochs          900. Current error: 0.0540491268. Bit fail 62467.
Epochs          920. Current error: 0.0570873953. Bit fail 68338.
Epochs          940. Current error: 0.0540038534. Bit fail 63534.
Epochs          960. Current error: 0.0513698682. Bit fail 57144.
Epochs          980. Current error: 0.0502173454. Bit fail 49942.
Epochs         1000. Current error: 0.0473792367. Bit fail 52346.
Epochs         1020. Current error: 0.0404882990. Bit fail 44796.
Epochs         1040. Current error: 0.0408276580. Bit fail 45822.
Epochs         1060. Current error: 0.0382371694. Bit fail 41575.
Epochs         1080. Current error: 0.0355148986. Bit fail 40360.
Epochs         1100. Current error: 0.0325915366. Bit fail 35140.
Epochs         1120. Current error: 0.0324416682. Bit fail 35520.
Epochs         1140. Current error: 0.0323132537. Bit fail 34546.
Epochs         1160. Current error: 0.0311086886. Bit fail 33763.
Epochs         1180. Current error: 0.0317879766. Bit fail 35434.
Epochs         1200. Current error: 0.0443527885. Bit fail 42691.
Epochs         1220. Current error: 0.0309495274. Bit fail 35234.
Epochs         1240. Current error: 0.0302939583. Bit fail 35442.
Epochs         1260. Current error: 0.0281791966. Bit fail 32055.
Epochs         1280. Current error: 0.0272337385. Bit fail 30716.
Epochs         1300. Current error: 0.0260129087. Bit fail 28570.
Epochs         1320. Current error: 0.0250258241. Bit fail 27192.
Epochs         1340. Current error: 0.0238732398. Bit fail 25989.
Epochs         1360. Current error: 0.0235226192. Bit fail 25903.
Epochs         1380. Current error: 0.0219797306. Bit fail 23450.
Epochs         1400. Current error: 0.0209847540. Bit fail 23128.
Epochs         1420. Current error: 0.0206740405. Bit fail 22747.
Epochs         1440. Current error: 0.0267589204. Bit fail 26709.
Epochs         1460. Current error: 0.0225692429. Bit fail 24058.
Epochs         1480. Current error: 0.0209809560. Bit fail 23126.
Epochs         1500. Current error: 0.0204898939. Bit fail 22959.
Epochs         1520. Current error: 0.0209617279. Bit fail 24216.
Epochs         1540. Current error: 0.0212977510. Bit fail 24146.
Epochs         1560. Current error: 0.0208083466. Bit fail 23830.
Epochs         1580. Current error: 0.0206354167. Bit fail 23692.
Epochs         1600. Current error: 0.0207837503. Bit fail 23558.
Epochs         1620. Current error: 0.0220548119. Bit fail 25453.
Epochs         1640. Current error: 0.0222626720. Bit fail 25751.
Epochs         1660. Current error: 0.0220656730. Bit fail 25497.
Epochs         1680. Current error: 0.0218898561. Bit fail 25053.
Epochs         1700. Current error: 0.0222683977. Bit fail 25123.
Epochs         1720. Current error: 0.0223269779. Bit fail 25390.
Epochs         1740. Current error: 0.0223130640. Bit fail 25263.
Epochs         1760. Current error: 0.0237161499. Bit fail 26524.
Epochs         1780. Current error: 0.0232199617. Bit fail 27559.
Epochs         1800. Current error: 0.0230968911. Bit fail 26394.
