Max epochs     5000. Desired error: 0.0199999996.
Epochs         3210. Current error: 0.0426509790. Bit fail 51483.
Epochs         3240. Current error: 0.0467660315. Bit fail 54806.
Epochs         3270. Current error: 0.0467910580. Bit fail 58993.
Epochs         3300. Current error: 0.0467388183. Bit fail 56328.
Epochs         3330. Current error: 0.0448349789. Bit fail 57165.
Epochs         3360. Current error: 0.0439097583. Bit fail 54648.
Epochs         3390. Current error: 0.0440056175. Bit fail 48729.
Epochs         3420. Current error: 0.0439069010. Bit fail 49758.
Epochs         3450. Current error: 0.0458007753. Bit fail 57714.
Epochs         3480. Current error: 0.0460123569. Bit fail 59072.
Epochs         3510. Current error: 0.0452291295. Bit fail 54656.
Epochs         3540. Current error: 0.0447954014. Bit fail 52670.
Epochs         3570. Current error: 0.0467115492. Bit fail 54562.
Epochs         3600. Current error: 0.0469283350. Bit fail 57135.
Epochs         3630. Current error: 0.0473819189. Bit fail 61851.
Epochs         3660. Current error: 0.0464360937. Bit fail 55975.
Epochs         3690. Current error: 0.0448141173. Bit fail 52838.
Epochs         3720. Current error: 0.0480202511. Bit fail 54799.
Epochs         3750. Current error: 0.0462473817. Bit fail 53494.
Epochs         3780. Current error: 0.0478497930. Bit fail 55759.
Epochs         3810. Current error: 0.0482261665. Bit fail 60131.
Epochs         3840. Current error: 0.0508013330. Bit fail 62591.
Epochs         3870. Current error: 0.0470067523. Bit fail 57926.
Epochs         3900. Current error: 0.0495004952. Bit fail 57097.
Epochs         3930. Current error: 0.0443693995. Bit fail 52673.
Epochs         3960. Current error: 0.0435379185. Bit fail 51474.
Epochs         3990. Current error: 0.0415269434. Bit fail 47999.
Epochs         4020. Current error: 0.0399250798. Bit fail 45435.
Epochs         4050. Current error: 0.0395412594. Bit fail 45056.
Epochs         4080. Current error: 0.0404491648. Bit fail 48814.
Epochs         4110. Current error: 0.0387389660. Bit fail 46716.
Epochs         4140. Current error: 0.0390902571. Bit fail 50228.
Epochs         4170. Current error: 0.0387719236. Bit fail 47507.
Epochs         4200. Current error: 0.0390002728. Bit fail 47416.
Epochs         4230. Current error: 0.0387285165. Bit fail 46266.
Epochs         4260. Current error: 0.0384871177. Bit fail 42770.
Epochs         4290. Current error: 0.0370041803. Bit fail 42767.
Epochs         4320. Current error: 0.0378027335. Bit fail 43194.
Epochs         4350. Current error: 0.0399623401. Bit fail 47902.
Epochs         4380. Current error: 0.0380878076. Bit fail 45343.
Epochs         4410. Current error: 0.0374257602. Bit fail 42516.
Epochs         4440. Current error: 0.0368973762. Bit fail 41771.
Epochs         4470. Current error: 0.0376834944. Bit fail 43917.
Epochs         4500. Current error: 0.0364999734. Bit fail 42730.
Epochs         4530. Current error: 0.0356874689. Bit fail 39958.
Epochs         4560. Current error: 0.0350553617. Bit fail 39478.
Epochs         4590. Current error: 0.0346719399. Bit fail 39826.
Epochs         4620. Current error: 0.0350627825. Bit fail 39669.
Epochs         4650. Current error: 0.0331678316. Bit fail 37264.
Epochs         4680. Current error: 0.0328906402. Bit fail 36643.
Epochs         4710. Current error: 0.0308622923. Bit fail 33934.
Epochs         4740. Current error: 0.0316507705. Bit fail 34848.
Epochs         4770. Current error: 0.0334687531. Bit fail 37503.
Epochs         4800. Current error: 0.0349053144. Bit fail 39332.
Epochs         4830. Current error: 0.0345541202. Bit fail 40195.
Epochs         4860. Current error: 0.0354703180. Bit fail 39822.
Epochs         4890. Current error: 0.0411749259. Bit fail 48204.
Epochs         4920. Current error: 0.0460251458. Bit fail 51647.
Epochs         4950. Current error: 0.0418315679. Bit fail 49318.
Epochs         4980. Current error: 0.0402588248. Bit fail 48251.
Epochs         5000. Current error: 0.0390284248. Bit fail 46313.
Cleaning up.
