











To run a command as administrator (user "root"), use "sudo <command>".
See "man sudo_root" for details.

gleber@redis04:~/ann$ ./docr 10000 150 20
Loading data...
Will write to: digits_10000ep_60000ts_4l_150hu_20hu_.net
Creating network.
Training network.
Max epochs    10000. Desired error: 0.0199999996.
Epochs         3090. Current error: 0.0674067661. Bit fail 75186.
Epochs         3120. Current error: 0.0664577633. Bit fail 75677.
Epochs         3150. Current error: 0.0795646310. Bit fail 71341.
Epochs         3180. Current error: 0.0915329531. Bit fail 78372.
Epochs         3210. Current error: 0.0758408159. Bit fail 71163.
Epochs         3240. Current error: 0.0818065032. Bit fail 84426.
Epochs         3270. Current error: 0.0830313191. Bit fail 78344.
Epochs         3300. Current error: 0.0852017403. Bit fail 65024.
Epochs         3330. Current error: 0.0817558467. Bit fail 66460.
Epochs         3360. Current error: 0.0803797767. Bit fail 72137.
Epochs         3390. Current error: 0.0759007856. Bit fail 69194.
Epochs         3420. Current error: 0.0752205476. Bit fail 76168.
Epochs         3450. Current error: 0.0625315681. Bit fail 71343.
Epochs         3480. Current error: 0.0736680701. Bit fail 78018.
Epochs         3510. Current error: 0.0701822639. Bit fail 69303.
Epochs         3540. Current error: 0.0674048886. Bit fail 69224.
Epochs         3570. Current error: 0.0673757195. Bit fail 65754.
Epochs         3600. Current error: 0.0664136037. Bit fail 68966.
Epochs         3630. Current error: 0.0746124163. Bit fail 63198.
Epochs         3660. Current error: 0.0848527178. Bit fail 64739.
Epochs         3690. Current error: 0.0850587711. Bit fail 63309.
Epochs         3720. Current error: 0.0807340592. Bit fail 86621.
Epochs         3750. Current error: 0.0766289011. Bit fail 80417.
Epochs         3780. Current error: 0.0784897283. Bit fail 80558.
Epochs         3810. Current error: 0.0752527192. Bit fail 58996.
Epochs         3840. Current error: 0.0713192299. Bit fail 62067.
Epochs         3870. Current error: 0.0749122947. Bit fail 67676.
Epochs         3900. Current error: 0.0762365758. Bit fail 70429.
Epochs         3930. Current error: 0.0767652914. Bit fail 71584.
Epochs         3960. Current error: 0.0800750628. Bit fail 81099.
Epochs         3990. Current error: 0.0845695212. Bit fail 69663.
Epochs         4020. Current error: 0.0789453387. Bit fail 62908.
Epochs         4050. Current error: 0.0751596391. Bit fail 65430.
Epochs         4080. Current error: 0.0744099319. Bit fail 65799.
Epochs         4110. Current error: 0.0767458752. Bit fail 60205.
Epochs         4140. Current error: 0.0781068727. Bit fail 73079.
Epochs         4170. Current error: 0.0813670382. Bit fail 65790.
Epochs         4200. Current error: 0.0725794509. Bit fail 69100.
Epochs         4230. Current error: 0.0697728023. Bit fail 75374.
Epochs         4260. Current error: 0.0830403417. Bit fail 67338.
Epochs         4290. Current error: 0.0862138867. Bit fail 60473.
Epochs         4320. Current error: 0.0874010399. Bit fail 70562.
Epochs         4350. Current error: 0.0858315527. Bit fail 60492.
Epochs         4380. Current error: 0.1030111909. Bit fail 77475.
Epochs         4410. Current error: 0.0849347562. Bit fail 60715.
Epochs         4440. Current error: 0.0833779350. Bit fail 66830.
Epochs         4470. Current error: 0.0822080150. Bit fail 66910.
Epochs         4500. Current error: 0.0782979056. Bit fail 69285.
Epochs         4530. Current error: 0.0780583248. Bit fail 66238.
Epochs         4560. Current error: 0.0790046230. Bit fail 71203.
Epochs         4590. Current error: 0.0843930840. Bit fail 66223.
Epochs         4620. Current error: 0.0872047395. Bit fail 61752.
Epochs         4650. Current error: 0.0839022025. Bit fail 60928.
Epochs         4680. Current error: 0.0876955986. Bit fail 62521.
Epochs         4710. Current error: 0.0889524445. Bit fail 64425.
Epochs         4740. Current error: 0.0804959014. Bit fail 66586.
Epochs         4770. Current error: 0.0889220536. Bit fail 71385.
Epochs         4800. Current error: 0.0938521326. Bit fail 60000.
Epochs         4830. Current error: 0.0915022269. Bit fail 60000.
Epochs         4860. Current error: 0.0916048959. Bit fail 60000.
Epochs         4890. Current error: 0.0915925875. Bit fail 63503.
Epochs         4920. Current error: 0.0837382525. Bit fail 55031.
Epochs         4950. Current error: 0.0834525228. Bit fail 55077.
Epochs         4980. Current error: 0.0879742056. Bit fail 73008.
Epochs         5010. Current error: 0.0916363373. Bit fail 59994.
Epochs         5040. Current error: 0.0914815292. Bit fail 59999.
Epochs         5070. Current error: 0.0914263129. Bit fail 59784.
Epochs         5100. Current error: 0.0914442912. Bit fail 59833.
Epochs         5130. Current error: 0.0914629251. Bit fail 59864.
Epochs         5160. Current error: 0.0914458558. Bit fail 59776.
Epochs         5190. Current error: 0.0913489386. Bit fail 59777.
Epochs         5220. Current error: 0.0910787731. Bit fail 59865.
Epochs         5250. Current error: 0.0877329931. Bit fail 58743.
Epochs         5280. Current error: 0.0848162770. Bit fail 63844.
Epochs         5310. Current error: 0.0897037387. Bit fail 60000.
Epochs         5340. Current error: 0.0908295587. Bit fail 59148.
Epochs         5370. Current error: 0.0894998610. Bit fail 58787.
Epochs         5400. Current error: 0.0876064226. Bit fail 65429.
Epochs         5430. Current error: 0.0829659849. Bit fail 54419.
Epochs         5460. Current error: 0.0862780958. Bit fail 56636.
Epochs         5490. Current error: 0.0893001854. Bit fail 58484.
Epochs         5520. Current error: 0.0880024284. Bit fail 57672.
Epochs         5550. Current error: 0.0864477158. Bit fail 57270.
Epochs         5580. Current error: 0.0833782554. Bit fail 56821.
Epochs         5610. Current error: 0.0824576318. Bit fail 59385.
Epochs         5640. Current error: 0.0791718960. Bit fail 63947.
Epochs         5670. Current error: 0.0840453506. Bit fail 65357.
Epochs         5700. Current error: 0.0882323310. Bit fail 76859.
Epochs         5730. Current error: 0.0828136802. Bit fail 70892.
Epochs         5760. Current error: 0.0901410282. Bit fail 58267.
Epochs         5790. Current error: 0.0985694975. Bit fail 85209.
Epochs         5820. Current error: 0.0988655984. Bit fail 113258.
Epochs         5850. Current error: 0.0921057314. Bit fail 60000.
Epochs         5880. Current error: 0.0915358961. Bit fail 60000.
Epochs         5910. Current error: 0.0915866196. Bit fail 60000.
Epochs         5940. Current error: 0.0914526805. Bit fail 60000.
Epochs         5970. Current error: 0.0916269794. Bit fail 60000.
Epochs         6000. Current error: 0.0915904269. Bit fail 60000.
Epochs         6030. Current error: 0.0915792286. Bit fail 60000.
Epochs         6060. Current error: 0.0915793031. Bit fail 60000.
Epochs         6090. Current error: 0.0915869027. Bit fail 60000.
Epochs         6120. Current error: 0.0915933326. Bit fail 60000.
Epochs         6150. Current error: 0.0915742293. Bit fail 60000.
Epochs         6180. Current error: 0.0916141644. Bit fail 60000.
Epochs         6210. Current error: 0.0915601924. Bit fail 60000.
Epochs         6240. Current error: 0.0915687755. Bit fail 60000.
Epochs         6270. Current error: 0.0915635824. Bit fail 60000.
Epochs         6300. Current error: 0.0916049778. Bit fail 60000.
Epochs         6330. Current error: 0.0915836990. Bit fail 60000.
Epochs         6360. Current error: 0.0915689692. Bit fail 60000.
Epochs         6390. Current error: 0.0916164815. Bit fail 60000.
Epochs         6420. Current error: 0.0916157663. Bit fail 60000.
Epochs         6450. Current error: 0.0916203856. Bit fail 60000.
Epochs         6480. Current error: 0.0914906412. Bit fail 60000.
Epochs         6510. Current error: 0.0916397348. Bit fail 60000.
Epochs         6540. Current error: 0.0916336924. Bit fail 60000.
Epochs         6570. Current error: 0.0915900543. Bit fail 60000.
Epochs         6600. Current error: 0.0915884972. Bit fail 60000.
Epochs         6630. Current error: 0.0915663689. Bit fail 60000.
Epochs         6660. Current error: 0.0915983319. Bit fail 60000.
Epochs         6690. Current error: 0.0916322693. Bit fail 60000.
Epochs         6720. Current error: 0.0916026458. Bit fail 60000.
Epochs         6750. Current error: 0.0914882943. Bit fail 60000.
Epochs         6780. Current error: 0.0915358961. Bit fail 60000.
Epochs         6810. Current error: 0.0916191787. Bit fail 60000.
Epochs         6840. Current error: 0.0914734751. Bit fail 60000.
Epochs         6870. Current error: 0.0915342867. Bit fail 60000.
Epochs         6900. Current error: 0.0916018188. Bit fail 60000.
Epochs         6930. Current error: 0.0915672928. Bit fail 60000.
Epochs         6960. Current error: 0.0915976614. Bit fail 60000.
Epochs         6990. Current error: 0.0916131735. Bit fail 60000.
Epochs         7020. Current error: 0.0915907547. Bit fail 60000.
Epochs         7050. Current error: 0.0915844440. Bit fail 60000.
Epochs         7080. Current error: 0.0915927812. Bit fail 60000.
Epochs         7110. Current error: 0.0914910287. Bit fail 60000.
Epochs         7140. Current error: 0.0914935544. Bit fail 60000.
Epochs         7170. Current error: 0.0915847048. Bit fail 60000.
Epochs         7200. Current error: 0.0915965140. Bit fail 60000.
