          0     1     2     3     4     5     6     7     8     9 
    0   919     0    11     4     3    11    26     1     4     1 
    1     0  1098     8     2     0     3     5     3    16     0 
    2     6    10   890    34     9     5    17    23    34     4 
    3     4     4    43   879     1    37     3    14    20     5 
    4     2     7     9     0   890     1    19     6     7    41 
    5    10     8    18    68    12   684    22    11    51     8 
    6    22     3    15     0     7    14   889     0     8     0 
    7     4    11    19     7     8     5     0   939     6    29 
    8    10    13    21    35     7    49    10    10   804    15 
    9     8    11     8    19    65    13     9    18    12   846 
