          0     1     2     3     4     5     6     7     8     9 
    0   852     0     1    71     2    34     3     3    14     0 
    1     9   971    86     2     7     0     3     1    54     2 
    2    69    11   563   117    25    25     6    14   199     3 
    3    18     6    50   672    11    97     3    34   114     5 
    4    35    11    66     9   651    23    12    12    78    85 
    5    85    12    26   150    51   423    12    34    95     4 
    6   144    15    72     8    71    25   599     0    24     0 
    7    62    44    20    49    34   141     1   593    30    54 
    8    35    20    36   161    46    88    18    44   504    22 
    9    65    10    51    38   184    55     0   137   149   320 
