          0     1     2     3     4     5     6     7     8     9 
    0   947     0     2     5     2     6    12     2     4     0 
    1     2  1094    12     5     1     2     7     3     9     0 
    2    24     2   885    31     8     5    12     8    47    10 
    3     6     0    23   890     1    33     1    14    34     8 
    4     2     0    10     3   880     0    19     6    16    46 
    5    24     2     9    60    10   688    17     5    70     7 
    6    21     1    15     1     6    13   887     1    11     2 
    7     1     9    22     7    10     2     0   933     5    39 
    8    14     4    17    20    13    26     7    15   842    16 
    9    12     7     4    10    58    11     1    35    18   853 
