Loading data...
Will write to: digits_5000ep_60000ts_3l_20hu_.net
Creating network.
Training network.
Max epochs     5000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.2593626976. Bit fail 600000.
Epochs           20. Current error: 0.0919384807. Bit fail 60000.
Epochs           40. Current error: 0.0916083008. Bit fail 60000.
Epochs           60. Current error: 0.0980025083. Bit fail 63784.
Epochs           80. Current error: 0.1176244393. Bit fail 75642.
Epochs          100. Current error: 0.1145267338. Bit fail 73992.
Epochs          120. Current error: 0.1143002063. Bit fail 75793.
Epochs          140. Current error: 0.0918741748. Bit fail 60374.
Epochs          160. Current error: 0.0985496268. Bit fail 64213.
Epochs          180. Current error: 0.1110848933. Bit fail 71737.
Epochs          200. Current error: 0.1116806120. Bit fail 72626.
Epochs          220. Current error: 0.1096984372. Bit fail 71653.
Epochs          240. Current error: 0.0939968154. Bit fail 61503.
Epochs          260. Current error: 0.0839037001. Bit fail 55484.
Epochs          280. Current error: 0.1046676114. Bit fail 67862.
Epochs          300. Current error: 0.0958511606. Bit fail 62588.
Epochs          320. Current error: 0.0903389156. Bit fail 59107.
Epochs          340. Current error: 0.0873531401. Bit fail 57396.
Epochs          360. Current error: 0.0869551226. Bit fail 57458.
Epochs          380. Current error: 0.0879084468. Bit fail 58604.
Epochs          400. Current error: 0.0879921168. Bit fail 59768.
Epochs          420. Current error: 0.0883899108. Bit fail 67382.
Epochs          440. Current error: 0.0875395089. Bit fail 66055.
Epochs          460. Current error: 0.0864259824. Bit fail 71067.
Epochs          480. Current error: 0.0842928290. Bit fail 82097.
Epochs          500. Current error: 0.0853942484. Bit fail 90319.
Epochs          520. Current error: 0.0840745345. Bit fail 77796.
Epochs          540. Current error: 0.0776917115. Bit fail 80717.
Epochs          560. Current error: 0.0714715719. Bit fail 77006.
Epochs          580. Current error: 0.1348915994. Bit fail 120184.
Epochs          600. Current error: 0.1244301423. Bit fail 106455.
Epochs          620. Current error: 0.0662853122. Bit fail 59864.
Epochs          640. Current error: 0.0643394589. Bit fail 70592.
Epochs          660. Current error: 0.0625218377. Bit fail 65507.
Epochs          680. Current error: 0.0614524819. Bit fail 66619.
Epochs          700. Current error: 0.0602144264. Bit fail 59236.
Epochs          720. Current error: 0.0595509447. Bit fail 55759.
Epochs          740. Current error: 0.0590079054. Bit fail 50706.
Epochs          760. Current error: 0.0583019666. Bit fail 55743.
Epochs          780. Current error: 0.0573068410. Bit fail 60430.
Epochs          800. Current error: 0.0559256710. Bit fail 66443.
Epochs          820. Current error: 0.0552506708. Bit fail 69359.
Epochs          840. Current error: 0.0523878708. Bit fail 66244.
Epochs          860. Current error: 0.0511574037. Bit fail 71432.
Epochs          880. Current error: 0.0505015776. Bit fail 71374.
Epochs          900. Current error: 0.0502691977. Bit fail 66001.
Epochs          920. Current error: 0.0508996248. Bit fail 59744.
Epochs          940. Current error: 0.0563353971. Bit fail 63807.
Epochs          960. Current error: 0.0692845210. Bit fail 72053.
Epochs          980. Current error: 0.0492696762. Bit fail 62671.
Epochs         1000. Current error: 0.0468290187. Bit fail 60657.
Epochs         1020. Current error: 0.0435456485. Bit fail 47573.
Epochs         1040. Current error: 0.0431333445. Bit fail 53697.
Epochs         1060. Current error: 0.0407578535. Bit fail 45872.
Epochs         1080. Current error: 0.0412461199. Bit fail 40905.
Epochs         1100. Current error: 0.0413491912. Bit fail 40827.
Epochs         1120. Current error: 0.0428963043. Bit fail 48669.
Epochs         1140. Current error: 0.0384540446. Bit fail 44173.
Epochs         1160. Current error: 0.0382295586. Bit fail 45528.
Epochs         1180. Current error: 0.0390968323. Bit fail 46966.
Epochs         1200. Current error: 0.0382642746. Bit fail 46804.
Epochs         1220. Current error: 0.0369447805. Bit fail 42251.
Epochs         1240. Current error: 0.0382789969. Bit fail 40535.
Epochs         1260. Current error: 0.0385579281. Bit fail 41702.
Epochs         1280. Current error: 0.0379019938. Bit fail 38898.
Epochs         1300. Current error: 0.0386966169. Bit fail 39320.
