Loading data...
Will write to: digits_2000ep_60000ts_3l_60hu_.net
Creating network.
Training network.
Max epochs     2000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.2753744721. Bit fail 600000.
Epochs           20. Current error: 0.0918121859. Bit fail 60000.
Epochs           40. Current error: 0.0916129425. Bit fail 60000.
Epochs           60. Current error: 0.1012713537. Bit fail 65686.
Epochs           80. Current error: 0.1130804569. Bit fail 72856.
Epochs          100. Current error: 0.1202442944. Bit fail 77419.
Epochs          120. Current error: 0.1006707624. Bit fail 65738.
Epochs          140. Current error: 0.0904770270. Bit fail 59522.
Epochs          160. Current error: 0.0892948732. Bit fail 58804.
Epochs          180. Current error: 0.0881787166. Bit fail 59568.
Epochs          200. Current error: 0.0878733397. Bit fail 62785.
Epochs          220. Current error: 0.0894146040. Bit fail 65370.
Epochs          240. Current error: 0.0805160329. Bit fail 56388.
Epochs          260. Current error: 0.0734668300. Bit fail 58613.
Epochs          280. Current error: 0.0761013702. Bit fail 62257.
Epochs          300. Current error: 0.0728398487. Bit fail 61057.
Epochs          320. Current error: 0.0666662082. Bit fail 60061.
Epochs          340. Current error: 0.0571938679. Bit fail 55317.
Epochs          360. Current error: 0.0547254570. Bit fail 54328.
Epochs          380. Current error: 0.0434946194. Bit fail 43501.
Epochs          400. Current error: 0.0400582813. Bit fail 37511.
Epochs          420. Current error: 0.0415364653. Bit fail 38739.
Epochs          440. Current error: 0.0378079712. Bit fail 36806.
Epochs          460. Current error: 0.0332363136. Bit fail 32823.
Epochs          480. Current error: 0.0342079699. Bit fail 33167.
Epochs          500. Current error: 0.0319512859. Bit fail 31163.
Epochs          520. Current error: 0.0373628587. Bit fail 34307.
Epochs          540. Current error: 0.0390649103. Bit fail 32350.
Epochs          560. Current error: 0.0377933271. Bit fail 31975.
Epochs          580. Current error: 0.0347647443. Bit fail 29616.
Epochs          600. Current error: 0.0304980539. Bit fail 26956.
Epochs          620. Current error: 0.0293912925. Bit fail 26446.
Epochs          640. Current error: 0.0734721497. Bit fail 55546.
Epochs          660. Current error: 0.0272276346. Bit fail 26242.
Epochs          680. Current error: 0.0313261226. Bit fail 29679.
Epochs          700. Current error: 0.0266723670. Bit fail 26218.
Epochs          720. Current error: 0.0297051799. Bit fail 28291.
Epochs          740. Current error: 0.0263466090. Bit fail 26568.
Epochs          760. Current error: 0.0335687809. Bit fail 29632.
Epochs          780. Current error: 0.0251103770. Bit fail 23431.
Epochs          800. Current error: 0.0282042976. Bit fail 25900.
Epochs          820. Current error: 0.0260542724. Bit fail 25263.
Epochs          840. Current error: 0.0308738388. Bit fail 28347.
Epochs          860. Current error: 0.0342465378. Bit fail 30803.
Epochs          880. Current error: 0.0311639458. Bit fail 29001.
Epochs          900. Current error: 0.0336336605. Bit fail 30141.
Epochs          920. Current error: 0.0226438697. Bit fail 23039.
Epochs          940. Current error: 0.0249352418. Bit fail 24858.
Epochs          960. Current error: 0.0219412018. Bit fail 23166.
Epochs          980. Current error: 0.0214312542. Bit fail 22612.
Epochs         1000. Current error: 0.0210789051. Bit fail 22134.
Epochs         1020. Current error: 0.0209781229. Bit fail 21939.
Epochs         1040. Current error: 0.0211114623. Bit fail 22522.
Epochs         1060. Current error: 0.0222048722. Bit fail 23769.
Epochs         1080. Current error: 0.0235412549. Bit fail 25698.
Epochs         1100. Current error: 0.0232337359. Bit fail 25462.
Epochs         1120. Current error: 0.0256467592. Bit fail 26084.
Epochs         1140. Current error: 0.0225812849. Bit fail 24125.
Epochs         1160. Current error: 0.0228924602. Bit fail 24771.
Epochs         1180. Current error: 0.0229324847. Bit fail 25302.
Epochs         1200. Current error: 0.0237934254. Bit fail 27063.
Epochs         1220. Current error: 0.0240266379. Bit fail 26603.
Epochs         1240. Current error: 0.0234472193. Bit fail 25576.
Epochs         1260. Current error: 0.0228037965. Bit fail 24242.
Epochs         1280. Current error: 0.0223942865. Bit fail 24405.
Epochs         1300. Current error: 0.0226953495. Bit fail 24738.
Epochs         1320. Current error: 0.0272685848. Bit fail 28189.
Epochs         1340. Current error: 0.0261787884. Bit fail 26978.
Epochs         1360. Current error: 0.0224916041. Bit fail 23883.
Epochs         1380. Current error: 0.0239963774. Bit fail 25438.
Epochs         1400. Current error: 0.0297710449. Bit fail 33427.
Epochs         1420. Current error: 0.0208522081. Bit fail 23326.
Epochs         1440. Current error: 0.0334413573. Bit fail 31120.
Epochs         1460. Current error: 0.0227389149. Bit fail 25028.
Epochs         1480. Current error: 0.0221447721. Bit fail 24476.
Epochs         1500. Current error: 0.0214875918. Bit fail 24072.
Epochs         1520. Current error: 0.0213564802. Bit fail 23851.
Epochs         1540. Current error: 0.0213838387. Bit fail 23848.
Epochs         1560. Current error: 0.0219518840. Bit fail 24316.
Epochs         1580. Current error: 0.0224925503. Bit fail 24614.
Epochs         1600. Current error: 0.0224368591. Bit fail 24696.
Epochs         1620. Current error: 0.0227825157. Bit fail 25392.
Epochs         1640. Current error: 0.0244601779. Bit fail 26323.
Epochs         1660. Current error: 0.0226539634. Bit fail 25496.
Epochs         1680. Current error: 0.0307174716. Bit fail 30309.
Epochs         1700. Current error: 0.0226093922. Bit fail 25591.
Epochs         1720. Current error: 0.0224558357. Bit fail 24724.
Epochs         1740. Current error: 0.0226744860. Bit fail 25048.
Epochs         1760. Current error: 0.0229446944. Bit fail 24889.
Epochs         1780. Current error: 0.0222470425. Bit fail 24477.
Epochs         1800. Current error: 0.0219505131. Bit fail 23962.
Epochs         1820. Current error: 0.0230335277. Bit fail 25120.
Epochs         1840. Current error: 0.0267523509. Bit fail 28445.
Epochs         1860. Current error: 0.0242527053. Bit fail 27255.
Epochs         1880. Current error: 0.0251294915. Bit fail 27648.
Epochs         1900. Current error: 0.0232207626. Bit fail 26540.
Epochs         1920. Current error: 0.0247682128. Bit fail 28064.
Epochs         1940. Current error: 0.0255597942. Bit fail 28997.
Epochs         1960. Current error: 0.0260425713. Bit fail 30071.
Epochs         1980. Current error: 0.0258154217. Bit fail 29672.
Epochs         2000. Current error: 0.0277763382. Bit fail 30418.
Cleaning up.
