Loading data...
Will write to: digits_5000ep_60000ts_3l_30hu_.net
Creating network.
Training network.
Max epochs     5000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.2626079619. Bit fail 600000.
Epochs           20. Current error: 0.0919592157. Bit fail 60000.
Epochs           40. Current error: 0.0916197598. Bit fail 60000.
Epochs           60. Current error: 0.0923111141. Bit fail 60472.
Epochs           80. Current error: 0.1109114811. Bit fail 71552.
Epochs          100. Current error: 0.1215861589. Bit fail 78252.
Epochs          120. Current error: 0.1073891521. Bit fail 70301.
Epochs          140. Current error: 0.0946703553. Bit fail 62452.
Epochs          160. Current error: 0.1005675271. Bit fail 65485.
Epochs          180. Current error: 0.1013289988. Bit fail 68069.
Epochs          200. Current error: 0.0981855243. Bit fail 65097.
Epochs          220. Current error: 0.0980909988. Bit fail 63796.
Epochs          240. Current error: 0.0985770598. Bit fail 64179.
Epochs          260. Current error: 0.0846924409. Bit fail 55834.
Epochs          280. Current error: 0.0878396481. Bit fail 57981.
Epochs          300. Current error: 0.0886366963. Bit fail 60050.
Epochs          320. Current error: 0.0848091766. Bit fail 61921.
Epochs          340. Current error: 0.0882206708. Bit fail 70050.
Epochs          360. Current error: 0.0929857865. Bit fail 82008.
Epochs          380. Current error: 0.0782769397. Bit fail 75357.
Epochs          400. Current error: 0.0742820576. Bit fail 68657.
Epochs          420. Current error: 0.0709651858. Bit fail 71120.
Epochs          440. Current error: 0.0726900473. Bit fail 61877.
Epochs          460. Current error: 0.0781064555. Bit fail 67013.
Epochs          480. Current error: 0.0712197646. Bit fail 65181.
Epochs          500. Current error: 0.0699442849. Bit fail 78585.
Epochs          520. Current error: 0.0640757680. Bit fail 75939.
Epochs          540. Current error: 0.0687637255. Bit fail 75239.
Epochs          560. Current error: 0.0547275990. Bit fail 54604.
Epochs          580. Current error: 0.0552558526. Bit fail 68821.
Epochs          600. Current error: 0.0465411544. Bit fail 54870.
Epochs          620. Current error: 0.0442907661. Bit fail 50808.
Epochs          640. Current error: 0.0426519029. Bit fail 46496.
Epochs          660. Current error: 0.0403848216. Bit fail 49553.
Epochs          680. Current error: 0.0400102958. Bit fail 47528.
Epochs          700. Current error: 0.0360757485. Bit fail 42288.
Epochs          720. Current error: 0.0340818316. Bit fail 38753.
Epochs          740. Current error: 0.0333447866. Bit fail 37265.
Epochs          760. Current error: 0.0328782126. Bit fail 37345.
Epochs          780. Current error: 0.0345180407. Bit fail 37946.
Epochs          800. Current error: 0.0384293981. Bit fail 42543.
Epochs          820. Current error: 0.0325977355. Bit fail 38257.
Epochs          840. Current error: 0.0340171941. Bit fail 41594.
Epochs          860. Current error: 0.0361527465. Bit fail 41853.
Epochs          880. Current error: 0.0359724648. Bit fail 41153.
Epochs          900. Current error: 0.0381134860. Bit fail 45252.
Epochs          920. Current error: 0.0365890004. Bit fail 42440.
Epochs          940. Current error: 0.0364468545. Bit fail 42855.
Epochs          960. Current error: 0.0337340795. Bit fail 40004.
Epochs          980. Current error: 0.0310164131. Bit fail 34312.
Epochs         1000. Current error: 0.0310443230. Bit fail 34264.
Epochs         1020. Current error: 0.0312311649. Bit fail 36476.
Epochs         1040. Current error: 0.0324816033. Bit fail 38167.
Epochs         1060. Current error: 0.0318754725. Bit fail 37099.
Epochs         1080. Current error: 0.0297733042. Bit fail 34863.
Epochs         1100. Current error: 0.0290604625. Bit fail 34306.
Epochs         1120. Current error: 0.0285455659. Bit fail 32890.
Epochs         1140. Current error: 0.0282723960. Bit fail 33189.
Epochs         1160. Current error: 0.0273675285. Bit fail 30914.
Epochs         1180. Current error: 0.0267957058. Bit fail 30035.
Epochs         1200. Current error: 0.0269829798. Bit fail 30278.
Epochs         1220. Current error: 0.0274707153. Bit fail 32839.
Epochs         1240. Current error: 0.0313513316. Bit fail 36295.
Epochs         1260. Current error: 0.0289144497. Bit fail 35114.
Epochs         1280. Current error: 0.0284974910. Bit fail 33659.
Epochs         1300. Current error: 0.0290398207. Bit fail 33680.
Epochs         1320. Current error: 0.0393063910. Bit fail 41245.
Epochs         1340. Current error: 0.0315410569. Bit fail 37589.
Epochs         1360. Current error: 0.0304404590. Bit fail 34417.
Epochs         1380. Current error: 0.0280449577. Bit fail 33009.
Epochs         1400. Current error: 0.0297048204. Bit fail 33284.
Epochs         1420. Current error: 0.0275282003. Bit fail 30547.
Epochs         1440. Current error: 0.0280416999. Bit fail 30488.
Epochs         1460. Current error: 0.0258863159. Bit fail 28659.
