

























--:--  docr.c            All (26,0)    (Fundamental)-----------------------------------------------------
gleber@redis04:~/ann$ make
gcc -lfann -Wall docr.c -o docr
docr.c: In function 'main':
docr.c:15: warning: unused variable 'calc_out'
gcc -lfann -Wall cascade.c -o cascade
gcc -lfann -Wall docr_test.c -o docr_test
chmod +x docr docr_test cascade
gleber@redis04:~/ann$ ./docr
Creating network.
Training network.
Max epochs    10000. Desired error: 0.0199999996.
Epochs         3000. Current error: 0.0914882720. Bit fail 60000.
Epochs         3030. Current error: 0.0915935785. Bit fail 60000.
Epochs         3060. Current error: 0.0915766582. Bit fail 60000.
Epochs         3090. Current error: 0.0916113034. Bit fail 60000.
Epochs         3120. Current error: 0.0916142836. Bit fail 60000.
Epochs         3150. Current error: 0.0915183648. Bit fail 60000.
Epochs         3180. Current error: 0.0916031823. Bit fail 60000.
Epochs         3210. Current error: 0.0915759280. Bit fail 60000.
Epochs         3240. Current error: 0.0916058123. Bit fail 60000.
Epochs         3270. Current error: 0.0916108936. Bit fail 60000.
Epochs         3300. Current error: 0.0914987549. Bit fail 60000.
Epochs         3330. Current error: 0.0916449055. Bit fail 60000.
Epochs         3360. Current error: 0.0915853232. Bit fail 60000.
Epochs         3390. Current error: 0.0915926993. Bit fail 60000.
Epochs         3420. Current error: 0.0916050225. Bit fail 60000.
Epochs         3450. Current error: 0.0914794356. Bit fail 60000.
Epochs         3480. Current error: 0.0915302262. Bit fail 60000.
Epochs         3510. Current error: 0.0916052014. Bit fail 60000.
Epochs         3540. Current error: 0.0915882662. Bit fail 60000.
Epochs         3570. Current error: 0.0916143730. Bit fail 60000.
Epochs         3600. Current error: 0.0914664865. Bit fail 60000.
Epochs         3630. Current error: 0.0915243253. Bit fail 60000.
Epochs         3660. Current error: 0.0916135088. Bit fail 60000.
Epochs         3690. Current error: 0.0915993154. Bit fail 60000.
Epochs         3720. Current error: 0.0916112065. Bit fail 60000.
Epochs         3750. Current error: 0.0914596841. Bit fail 60000.
Epochs         3780. Current error: 0.0914973393. Bit fail 60000.
Epochs         3810. Current error: 0.0916076675. Bit fail 60000.
Epochs         3840. Current error: 0.0915806666. Bit fail 60000.
Epochs         3870. Current error: 0.0915923119. Bit fail 60000.
Epochs         3900. Current error: 0.0916374028. Bit fail 60000.
Epochs         3930. Current error: 0.0914882794. Bit fail 60000.
Epochs         3960. Current error: 0.0915935859. Bit fail 60000.
Epochs         3990. Current error: 0.0915766954. Bit fail 60000.
Epochs         4020. Current error: 0.0916113406. Bit fail 60000.
Epochs         4050. Current error: 0.0916143879. Bit fail 60000.
Epochs         4080. Current error: 0.0915182605. Bit fail 60000.
Epochs         4110. Current error: 0.0916031152. Bit fail 60000.
Epochs         4140. Current error: 0.0915681869. Bit fail 60000.
Epochs         4170. Current error: 0.0916054621. Bit fail 60000.
Epochs         4200. Current error: 0.0916164294. Bit fail 60000.
Epochs         4230. Current error: 0.0914987475. Bit fail 60000.
Epochs         4260. Current error: 0.0916449055. Bit fail 60000.
Epochs         4290. Current error: 0.0915853232. Bit fail 60000.
Epochs         4320. Current error: 0.0915927216. Bit fail 60000.
Epochs         4350. Current error: 0.0916050151. Bit fail 60000.
Epochs         4380. Current error: 0.0914808512. Bit fail 60000.
Epochs         4410. Current error: 0.0915302411. Bit fail 60000.
Epochs         4440. Current error: 0.0916053727. Bit fail 60000.
