Loading data...
Will write to: digits_30000ep_60000ts_3l_45hu_.net
Creating network.
Training network.
Max epochs    30000. Desired error: 0.0049999999.
Epochs          109. Current error: 0.0916055068. Bit fail 60002.
Epochs          110. Current error: 0.0927131698. Bit fail 60002.
Epochs          111. Current error: 0.0922386646. Bit fail 60002.
Epochs          112. Current error: 0.0975282714. Bit fail 62969.
Epochs          113. Current error: 0.0916680321. Bit fail 60004.
Epochs          114. Current error: 0.0925395787. Bit fail 60004.
Epochs          115. Current error: 0.0914955512. Bit fail 60004.
Epochs          116. Current error: 0.0923976004. Bit fail 60004.
Epochs          117. Current error: 0.0971513167. Bit fail 63397.
Epochs          118. Current error: 0.0923503190. Bit fail 60004.
Epochs          119. Current error: 0.0973181948. Bit fail 63496.
Epochs          120. Current error: 0.0863970220. Bit fail 56458.
Epochs          121. Current error: 0.0917604342. Bit fail 60006.
Epochs          122. Current error: 0.0861983299. Bit fail 56383.
Epochs          123. Current error: 0.0917975679. Bit fail 60008.
Epochs          124. Current error: 0.0983397588. Bit fail 63713.
Epochs          125. Current error: 0.0976979136. Bit fail 63746.
Epochs          126. Current error: 0.0958731994. Bit fail 63770.
Epochs          127. Current error: 0.0978785902. Bit fail 63826.
Epochs          128. Current error: 0.1024918556. Bit fail 67663.
Epochs          129. Current error: 0.1041113511. Bit fail 67696.
Epochs          130. Current error: 0.0986146256. Bit fail 63879.
Epochs          131. Current error: 0.1031692177. Bit fail 67774.
Epochs          132. Current error: 0.0976277664. Bit fail 63911.
Epochs          133. Current error: 0.0970593691. Bit fail 63959.
Epochs          134. Current error: 0.0986539945. Bit fail 63901.
Epochs          135. Current error: 0.0979740024. Bit fail 63874.
Epochs          136. Current error: 0.0984648541. Bit fail 63787.
Epochs          137. Current error: 0.0983354822. Bit fail 63725.
Epochs          138. Current error: 0.0921386406. Bit fail 60000.
Epochs          139. Current error: 0.0982598960. Bit fail 63512.
Epochs          140. Current error: 0.0865194201. Bit fail 56660.
Epochs          141. Current error: 0.0915349573. Bit fail 60008.
Epochs          142. Current error: 0.0867201686. Bit fail 56802.
Epochs          143. Current error: 0.0970867351. Bit fail 63359.
Epochs          144. Current error: 0.0920457169. Bit fail 60054.
Epochs          145. Current error: 0.0915031955. Bit fail 60008.
Epochs          146. Current error: 0.0918971971. Bit fail 59953.
Epochs          147. Current error: 0.0915117711. Bit fail 60008.
Epochs          148. Current error: 0.0970664471. Bit fail 63053.
Epochs          149. Current error: 0.0916248634. Bit fail 60008.
Epochs          150. Current error: 0.0970999300. Bit fail 63004.
Epochs          151. Current error: 0.0954129547. Bit fail 63028.
Epochs          152. Current error: 0.0920293778. Bit fail 59966.
Epochs          153. Current error: 0.0917700455. Bit fail 60008.
Epochs          154. Current error: 0.0920948684. Bit fail 59957.
Epochs          155. Current error: 0.0916854218. Bit fail 59942.
Epochs          156. Current error: 0.0963418707. Bit fail 62463.
Epochs          157. Current error: 0.0915461481. Bit fail 59910.
Epochs          158. Current error: 0.0919134021. Bit fail 59806.
Epochs          159. Current error: 0.0913724080. Bit fail 59809.
Epochs          160. Current error: 0.0917434990. Bit fail 59740.
Epochs          161. Current error: 0.0912452191. Bit fail 59741.
Epochs          162. Current error: 0.0916203260. Bit fail 59662.
Epochs          163. Current error: 0.0910767540. Bit fail 59651.
Epochs          164. Current error: 0.0915320292. Bit fail 59563.
Epochs          165. Current error: 0.0908761919. Bit fail 59537.
Epochs          166. Current error: 0.0912752375. Bit fail 59431.
Epochs          167. Current error: 0.0906310752. Bit fail 59372.
Epochs          168. Current error: 0.0910414159. Bit fail 59226.
Epochs          169. Current error: 0.0902394801. Bit fail 59157.
Epochs          170. Current error: 0.0906201899. Bit fail 59037.
Epochs          171. Current error: 0.0899175331. Bit fail 59007.
Epochs          172. Current error: 0.0904742479. Bit fail 58944.
Epochs          173. Current error: 0.0899949819. Bit fail 58987.
Epochs          174. Current error: 0.0904394761. Bit fail 58929.
Epochs          175. Current error: 0.0899389833. Bit fail 58960.
Epochs          176. Current error: 0.0903823972. Bit fail 58901.
Epochs          177. Current error: 0.0899190009. Bit fail 58949.
Epochs          178. Current error: 0.0902966112. Bit fail 58863.
Epochs          179. Current error: 0.0898822471. Bit fail 58935.
Epochs          180. Current error: 0.0903546065. Bit fail 58829.
Epochs          181. Current error: 0.0899884254. Bit fail 58922.
Epochs          182. Current error: 0.0902891830. Bit fail 58807.
Epochs          183. Current error: 0.0899308622. Bit fail 58897.
Epochs          184. Current error: 0.0902079642. Bit fail 58766.
Epochs          185. Current error: 0.0898168311. Bit fail 58907.
Epochs          186. Current error: 0.0900408030. Bit fail 58732.
Epochs          187. Current error: 0.0898591802. Bit fail 58922.
Epochs          188. Current error: 0.0899301842. Bit fail 58767.
Epochs          189. Current error: 0.0898139402. Bit fail 58968.
Epochs          190. Current error: 0.0898739398. Bit fail 58786.
Epochs          191. Current error: 0.0914575234. Bit fail 60042.
Epochs          192. Current error: 0.0942006111. Bit fail 61422.
Epochs          193. Current error: 0.0904434919. Bit fail 60065.
Epochs          194. Current error: 0.0897760168. Bit fail 58815.
