Loading data...
Will write to: digits_2000ep_60000ts_3l_20hu_.net
Creating network.
Training network.
Max epochs     2000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.2578861415. Bit fail 600000.
Epochs           20. Current error: 0.0922164619. Bit fail 60000.
Epochs           40. Current error: 0.0916261375. Bit fail 60000.
Epochs           60. Current error: 0.0997088179. Bit fail 64752.
Epochs           80. Current error: 0.0888975486. Bit fail 58379.
Epochs          100. Current error: 0.1314674318. Bit fail 84151.
Epochs          120. Current error: 0.0827794597. Bit fail 55019.
Epochs          140. Current error: 0.0836174861. Bit fail 55439.
Epochs          160. Current error: 0.0816468522. Bit fail 55986.
Epochs          180. Current error: 0.0866352096. Bit fail 62028.
Epochs          200. Current error: 0.0829758048. Bit fail 59138.
Epochs          220. Current error: 0.0824824050. Bit fail 59031.
Epochs          240. Current error: 0.0832782462. Bit fail 60113.
Epochs          260. Current error: 0.0804836154. Bit fail 61666.
Epochs          280. Current error: 0.0822829008. Bit fail 70640.
Epochs          300. Current error: 0.0696803182. Bit fail 64296.
Epochs          320. Current error: 0.0683265477. Bit fail 76261.
Epochs          340. Current error: 0.0452322103. Bit fail 50106.
Epochs          360. Current error: 0.0367669240. Bit fail 42359.
Epochs          380. Current error: 0.0347026512. Bit fail 40010.
Epochs          400. Current error: 0.0340060964. Bit fail 40813.
Epochs          420. Current error: 0.0331181474. Bit fail 41244.
Epochs          440. Current error: 0.0321416408. Bit fail 39677.
Epochs          460. Current error: 0.0332869217. Bit fail 39182.
Epochs          480. Current error: 0.0307610612. Bit fail 37480.
Epochs          500. Current error: 0.0310461745. Bit fail 34930.
Epochs          520. Current error: 0.0290705301. Bit fail 32398.
Epochs          540. Current error: 0.0283341631. Bit fail 32362.
Epochs          560. Current error: 0.0301788840. Bit fail 33866.
Epochs          580. Current error: 0.0312753469. Bit fail 35003.
Epochs          600. Current error: 0.0315408297. Bit fail 34292.
Epochs          620. Current error: 0.0327807628. Bit fail 37727.
Epochs          640. Current error: 0.0329303257. Bit fail 37921.
Epochs          660. Current error: 0.0336913466. Bit fail 39463.
Epochs          680. Current error: 0.0351001583. Bit fail 38278.
Epochs          700. Current error: 0.0375196896. Bit fail 41951.
Epochs          720. Current error: 0.0367581435. Bit fail 42662.
Epochs          740. Current error: 0.0381957740. Bit fail 43194.
Epochs          760. Current error: 0.0431540497. Bit fail 48010.
Epochs          780. Current error: 0.0408501662. Bit fail 46002.
Epochs          800. Current error: 0.0414222144. Bit fail 51509.
Epochs          820. Current error: 0.0413959771. Bit fail 52623.
Epochs          840. Current error: 0.0414829515. Bit fail 52383.
Epochs          860. Current error: 0.0450149775. Bit fail 52645.
Epochs          880. Current error: 0.0394317284. Bit fail 48103.
Epochs          900. Current error: 0.0421086960. Bit fail 51053.
Epochs          920. Current error: 0.0394506417. Bit fail 50536.
Epochs          940. Current error: 0.0410643332. Bit fail 50921.
Epochs          960. Current error: 0.0391394123. Bit fail 48135.
Epochs          980. Current error: 0.0402154662. Bit fail 51015.
Epochs         1000. Current error: 0.0410461724. Bit fail 50812.
Epochs         1020. Current error: 0.0426127762. Bit fail 52609.
Epochs         1040. Current error: 0.0424490087. Bit fail 52958.
Epochs         1060. Current error: 0.0425737910. Bit fail 53025.
Epochs         1080. Current error: 0.0419381447. Bit fail 52326.
Epochs         1100. Current error: 0.0405313820. Bit fail 51449.
Epochs         1120. Current error: 0.0393002890. Bit fail 49896.
Epochs         1140. Current error: 0.0377759039. Bit fail 46684.
Epochs         1160. Current error: 0.0363300703. Bit fail 41134.
Epochs         1180. Current error: 0.0422988720. Bit fail 43466.
Epochs         1200. Current error: 0.0379403606. Bit fail 40812.
Epochs         1220. Current error: 0.0389883742. Bit fail 39664.
Epochs         1240. Current error: 0.0433147699. Bit fail 42343.
Epochs         1260. Current error: 0.0394024216. Bit fail 41120.
Epochs         1280. Current error: 0.0391825661. Bit fail 41407.
Epochs         1300. Current error: 0.0388807654. Bit fail 41785.
Epochs         1320. Current error: 0.0385373496. Bit fail 41918.
Epochs         1340. Current error: 0.0382220969. Bit fail 40324.
Epochs         1360. Current error: 0.0373943895. Bit fail 43768.
Epochs         1380. Current error: 0.0364874527. Bit fail 43620.
Epochs         1400. Current error: 0.0353526101. Bit fail 40549.
Epochs         1420. Current error: 0.0350709148. Bit fail 40885.
Epochs         1440. Current error: 0.0357085951. Bit fail 40958.
Epochs         1460. Current error: 0.0344122276. Bit fail 39856.
Epochs         1480. Current error: 0.0340952277. Bit fail 38040.
Epochs         1500. Current error: 0.0366911143. Bit fail 40460.
Epochs         1520. Current error: 0.0377323441. Bit fail 43115.
Epochs         1540. Current error: 0.0400240906. Bit fail 45545.
Epochs         1560. Current error: 0.0416245200. Bit fail 47012.
Epochs         1580. Current error: 0.0433376059. Bit fail 47144.
Epochs         1600. Current error: 0.0437841341. Bit fail 48223.
Epochs         1620. Current error: 0.0426130593. Bit fail 48591.
Epochs         1640. Current error: 0.0441657081. Bit fail 47945.
Epochs         1660. Current error: 0.0483599789. Bit fail 48094.
Epochs         1680. Current error: 0.0404976308. Bit fail 44543.
Epochs         1700. Current error: 0.0383356325. Bit fail 42375.
Epochs         1720. Current error: 0.0362518542. Bit fail 39583.
Epochs         1740. Current error: 0.0352926143. Bit fail 36165.
Epochs         1760. Current error: 0.0348824970. Bit fail 41745.
Epochs         1780. Current error: 0.0334866457. Bit fail 38476.
Epochs         1800. Current error: 0.0329138786. Bit fail 36229.
Epochs         1820. Current error: 0.0370686650. Bit fail 40724.
Epochs         1840. Current error: 0.0335616693. Bit fail 38168.
Epochs         1860. Current error: 0.0332188681. Bit fail 38521.
Epochs         1880. Current error: 0.0321353674. Bit fail 34344.
Epochs         1900. Current error: 0.0323397815. Bit fail 37108.
Epochs         1920. Current error: 0.0321082547. Bit fail 36938.
Epochs         1940. Current error: 0.0313934237. Bit fail 34926.
Epochs         1960. Current error: 0.0314170718. Bit fail 34320.
Epochs         1980. Current error: 0.0323314182. Bit fail 33922.
Epochs         2000. Current error: 0.0345352851. Bit fail 35909.
Cleaning up.
