Loading data...
Will write to: digits_5000ep_60000ts_3l_60hu_.net
Creating network.
Training network.
Max epochs     5000. Desired error: 0.0049999999.
Epochs            1. Current error: 0.2743164301. Bit fail 600000.
Epochs           20. Current error: 0.0919651464. Bit fail 60000.
Epochs           40. Current error: 0.0916091874. Bit fail 60000.
Epochs           60. Current error: 0.0975858793. Bit fail 63584.
Epochs           80. Current error: 0.1183291897. Bit fail 76057.
Epochs          100. Current error: 0.0919744596. Bit fail 60471.
Epochs          120. Current error: 0.0844821185. Bit fail 56106.
Epochs          140. Current error: 0.0850150883. Bit fail 56106.
Epochs          160. Current error: 0.0841650963. Bit fail 55881.
Epochs          180. Current error: 0.0785100907. Bit fail 60078.
Epochs          200. Current error: 0.0851048753. Bit fail 65554.
Epochs          220. Current error: 0.0741880164. Bit fail 63324.
Epochs          240. Current error: 0.0616331697. Bit fail 54351.
Epochs          260. Current error: 0.0690858886. Bit fail 62477.
Epochs          280. Current error: 0.0670752674. Bit fail 58835.
Epochs          300. Current error: 0.0521551520. Bit fail 49308.
Epochs          320. Current error: 0.0386278071. Bit fail 35659.
Epochs          340. Current error: 0.0350999869. Bit fail 33026.
Epochs          360. Current error: 0.0316874608. Bit fail 31576.
Epochs          380. Current error: 0.0297945011. Bit fail 28691.
Epochs          400. Current error: 0.0370689146. Bit fail 34014.
Epochs          420. Current error: 0.0311104041. Bit fail 28936.
Epochs          440. Current error: 0.0305819083. Bit fail 28818.
Epochs          460. Current error: 0.0280355494. Bit fail 27873.
Epochs          480. Current error: 0.0288281739. Bit fail 27707.
Epochs          500. Current error: 0.0276690666. Bit fail 28001.
Epochs          520. Current error: 0.0260726735. Bit fail 27273.
Epochs          540. Current error: 0.0290903784. Bit fail 29475.
Epochs          560. Current error: 0.0267418660. Bit fail 28144.
Epochs          580. Current error: 0.0266106855. Bit fail 27751.
Epochs          600. Current error: 0.0264706593. Bit fail 27802.
Epochs          620. Current error: 0.0238410477. Bit fail 25759.
Epochs          640. Current error: 0.0239244737. Bit fail 26243.
Epochs          660. Current error: 0.0237715095. Bit fail 26951.
Epochs          680. Current error: 0.0233919825. Bit fail 26957.
Epochs          700. Current error: 0.0241220109. Bit fail 27298.
Epochs          720. Current error: 0.0284489840. Bit fail 30936.
Epochs          740. Current error: 0.0227192100. Bit fail 26302.
Epochs          760. Current error: 0.0217978042. Bit fail 25352.
Epochs          780. Current error: 0.0211537071. Bit fail 24206.
Epochs          800. Current error: 0.0265565906. Bit fail 27621.
Epochs          820. Current error: 0.0205403641. Bit fail 23403.
Epochs          840. Current error: 0.0222391300. Bit fail 24092.
Epochs          860. Current error: 0.0244058855. Bit fail 24683.
Epochs          880. Current error: 0.0260673296. Bit fail 25703.
Epochs          900. Current error: 0.0219065454. Bit fail 24154.
Epochs          920. Current error: 0.0229463261. Bit fail 24841.
Epochs          940. Current error: 0.0220364854. Bit fail 24490.
Epochs          960. Current error: 0.0231031645. Bit fail 24854.
Epochs          980. Current error: 0.0234677047. Bit fail 25131.
Epochs         1000. Current error: 0.0224255994. Bit fail 24148.
Epochs         1020. Current error: 0.0211164039. Bit fail 22670.
Epochs         1040. Current error: 0.0213465746. Bit fail 22771.
Epochs         1060. Current error: 0.0280201826. Bit fail 26746.
Epochs         1080. Current error: 0.0232594181. Bit fail 23566.
Epochs         1100. Current error: 0.0208168775. Bit fail 22222.
Epochs         1120. Current error: 0.0329047106. Bit fail 30534.
Epochs         1140. Current error: 0.0213853605. Bit fail 23541.
Epochs         1160. Current error: 0.0245506130. Bit fail 24577.
Epochs         1180. Current error: 0.0200284217. Bit fail 21846.
Epochs         1200. Current error: 0.0194862094. Bit fail 21155.
Epochs         1220. Current error: 0.0193167347. Bit fail 21067.
Epochs         1240. Current error: 0.0194352865. Bit fail 21235.
Epochs         1260. Current error: 0.0191036817. Bit fail 20695.
Epochs         1280. Current error: 0.0219051875. Bit fail 23524.
Epochs         1300. Current error: 0.0210087374. Bit fail 22771.
Epochs         1320. Current error: 0.0194890779. Bit fail 21290.
Epochs         1340. Current error: 0.0198493451. Bit fail 21883.
Epochs         1360. Current error: 0.0209470354. Bit fail 22457.
Epochs         1380. Current error: 0.0208233185. Bit fail 22714.
Epochs         1400. Current error: 0.0204339549. Bit fail 22582.
Epochs         1420. Current error: 0.0233196300. Bit fail 24534.
Epochs         1440. Current error: 0.0205769669. Bit fail 23177.
Epochs         1460. Current error: 0.0217621345. Bit fail 24126.
Epochs         1480. Current error: 0.0228959974. Bit fail 25176.
Epochs         1500. Current error: 0.0202869866. Bit fail 22784.
Epochs         1520. Current error: 0.0198416058. Bit fail 22259.
