          0     1     2     3     4     5     6     7     8     9 
    0   907     5     3     0     2     2    50    11     0     0 
    1     0  1046    37    12     0     1    11    28     0     0 
    2    69    46   751     9     2     0   105    50     0     0 
    3   119    14   290   424     0     0    12   151     0     0 
    4    35    13    15     2   503     1    74   339     0     0 
    5   432    26    33    39    93   105    33   131     0     0 
    6    61    78    23     0     2     1   792     1     0     0 
    7     1    28    16     4     1     0     0   978     0     0 
    8   238    90   121    76    57    15    41   332     4     0 
    9    25    19     6     6    55     0     5   892     0     1 
