Loading data...
Will write to: digits_5000ep_60000ts_3l_20hu_.net
Creating network.
Training network.
Max epochs     5000. Desired error: 0.0049999999.
Epochs          109. Current error: 0.0972931236. Bit fail 63731.
Epochs          110. Current error: 0.0976358652. Bit fail 63919.
Epochs          111. Current error: 0.1100617051. Bit fail 71361.
Epochs          112. Current error: 0.0913777202. Bit fail 60130.
Epochs          113. Current error: 0.0977919176. Bit fail 64003.
Epochs          114. Current error: 0.0846007094. Bit fail 56078.
Epochs          115. Current error: 0.0911375135. Bit fail 59980.
Epochs          116. Current error: 0.0849829689. Bit fail 56324.
Epochs          117. Current error: 0.0979186520. Bit fail 64118.
Epochs          118. Current error: 0.0979982913. Bit fail 64162.
Epochs          119. Current error: 0.0983933657. Bit fail 64348.
Epochs          120. Current error: 0.0914431065. Bit fail 60028.
Epochs          121. Current error: 0.1017186418. Bit fail 68199.
Epochs          122. Current error: 0.0950371027. Bit fail 64150.
Epochs          123. Current error: 0.0859340951. Bit fail 60092.
Epochs          124. Current error: 0.0913934410. Bit fail 60298.
Epochs          125. Current error: 0.0986441374. Bit fail 64519.
Epochs          126. Current error: 0.0944503844. Bit fail 64280.
Epochs          127. Current error: 0.0980272964. Bit fail 64152.
Epochs          128. Current error: 0.0927429721. Bit fail 64130.
Epochs          129. Current error: 0.0916138738. Bit fail 60084.
Epochs          130. Current error: 0.0957942605. Bit fail 64136.
Epochs          131. Current error: 0.0915052146. Bit fail 60026.
Epochs          132. Current error: 0.0938016772. Bit fail 64419.
Epochs          133. Current error: 0.0986329839. Bit fail 64213.
Epochs          134. Current error: 0.0993238762. Bit fail 64713.
Epochs          135. Current error: 0.1098801196. Bit fail 70977.
Epochs          136. Current error: 0.0904861093. Bit fail 59358.
Epochs          137. Current error: 0.1137857288. Bit fail 73282.
Epochs          138. Current error: 0.0955731869. Bit fail 62344.
Epochs          139. Current error: 0.1192461848. Bit fail 78804.
Epochs          140. Current error: 0.0891298056. Bit fail 58531.
Epochs          141. Current error: 0.1029924676. Bit fail 66720.
Epochs          142. Current error: 0.0842545256. Bit fail 55626.
Epochs          143. Current error: 0.1040078998. Bit fail 67407.
Epochs          144. Current error: 0.0859019309. Bit fail 57944.
Epochs          145. Current error: 0.1036962271. Bit fail 66963.
Epochs          146. Current error: 0.0869660527. Bit fail 57230.
Epochs          147. Current error: 0.0959969163. Bit fail 62327.
Epochs          148. Current error: 0.0844050571. Bit fail 55663.
Epochs          149. Current error: 0.0917819738. Bit fail 59790.
Epochs          150. Current error: 0.0844101012. Bit fail 55687.
Epochs          151. Current error: 0.0884520561. Bit fail 57761.
Epochs          152. Current error: 0.0844933614. Bit fail 55717.
Epochs          153. Current error: 0.0866357684. Bit fail 56660.
Epochs          154. Current error: 0.0843778029. Bit fail 55741.
Epochs          155. Current error: 0.0858073384. Bit fail 56271.
Epochs          156. Current error: 0.0845527425. Bit fail 55932.
Epochs          157. Current error: 0.0858014449. Bit fail 56160.
Epochs          158. Current error: 0.0849658251. Bit fail 55945.
Epochs          159. Current error: 0.0858231783. Bit fail 56135.
Epochs          160. Current error: 0.0917745903. Bit fail 60049.
Epochs          161. Current error: 0.0865445286. Bit fail 56387.
Epochs          162. Current error: 0.0921040922. Bit fail 60110.
Epochs          163. Current error: 0.0936434194. Bit fail 60792.
Epochs          164. Current error: 0.0861631036. Bit fail 56502.
Epochs          165. Current error: 0.0889172107. Bit fail 57834.
Epochs          166. Current error: 0.0868251696. Bit fail 56902.
Epochs          167. Current error: 0.0953955129. Bit fail 62388.
Epochs          168. Current error: 0.0877931118. Bit fail 57570.
Epochs          169. Current error: 0.0934873298. Bit fail 60701.
Epochs          170. Current error: 0.0896370485. Bit fail 59326.
Epochs          171. Current error: 0.0879427344. Bit fail 57327.
Epochs          172. Current error: 0.0925285891. Bit fail 60309.
Epochs          173. Current error: 0.0882929713. Bit fail 57667.
Epochs          174. Current error: 0.0940825865. Bit fail 61312.
Epochs          175. Current error: 0.0888388380. Bit fail 58022.
Epochs          176. Current error: 0.0956808180. Bit fail 62279.
Epochs          177. Current error: 0.0893202871. Bit fail 58318.
Epochs          178. Current error: 0.0932279676. Bit fail 60803.
Epochs          179. Current error: 0.0939096659. Bit fail 61126.
