
gleber@redis04:~/ann$ ./docr 7000 150 75 30
Loading data...
Will write to: digits_7000ep_60000ts_5l_150hu_75hu_30hu_.net
Creating network.
Training network.
Max epochs     7000. Desired error: 0.0199999996.
Epochs         3120. Current error: 0.0883868262. Bit fail 64389.
Epochs         3150. Current error: 0.0884731859. Bit fail 64355.
Epochs         3180. Current error: 0.0885052085. Bit fail 64348.
Epochs         3210. Current error: 0.0884871334. Bit fail 64342.
Epochs         3240. Current error: 0.0885030627. Bit fail 64336.
Epochs         3270. Current error: 0.0884573385. Bit fail 64337.
Epochs         3300. Current error: 0.0885166675. Bit fail 64329.
Epochs         3330. Current error: 0.0885070041. Bit fail 64326.
Epochs         3360. Current error: 0.0884941667. Bit fail 64326.
Epochs         3390. Current error: 0.0885560289. Bit fail 64325.
Epochs         3420. Current error: 0.0885353982. Bit fail 64326.
Epochs         3450. Current error: 0.0883791447. Bit fail 64325.
Epochs         3480. Current error: 0.0885318071. Bit fail 64326.
Epochs         3510. Current error: 0.0885239542. Bit fail 64325.
Epochs         3540. Current error: 0.0883956403. Bit fail 64304.
Epochs         3570. Current error: 0.0884996951. Bit fail 64305.
Epochs         3600. Current error: 0.0884916708. Bit fail 64301.
Epochs         3630. Current error: 0.0884022340. Bit fail 64301.
Epochs         3660. Current error: 0.0884524211. Bit fail 64310.
Epochs         3690. Current error: 0.0885258690. Bit fail 64302.
Epochs         3720. Current error: 0.0884941369. Bit fail 64298.
Epochs         3750. Current error: 0.0883412585. Bit fail 64293.
Epochs         3780. Current error: 0.0883671269. Bit fail 64294.
Epochs         3810. Current error: 0.0885193273. Bit fail 64295.
Epochs         3840. Current error: 0.0884995684. Bit fail 64299.
Epochs         3870. Current error: 0.0884325504. Bit fail 64329.
Epochs         3900. Current error: 0.0885666534. Bit fail 64465.
Epochs         3930. Current error: 0.0886389092. Bit fail 64608.
Epochs         3960. Current error: 0.0887054503. Bit fail 64578.
Epochs         3990. Current error: 0.0887300745. Bit fail 64633.
Epochs         4020. Current error: 0.0887275189. Bit fail 64741.
Epochs         4050. Current error: 0.0887516886. Bit fail 64689.
Epochs         4080. Current error: 0.0886676908. Bit fail 64482.
Epochs         4110. Current error: 0.0887022763. Bit fail 64287.
Epochs         4140. Current error: 0.0886056200. Bit fail 64294.
Epochs         4170. Current error: 0.0886986405. Bit fail 64243.
Epochs         4200. Current error: 0.0887176469. Bit fail 64242.
Epochs         4230. Current error: 0.0887043700. Bit fail 64241.
Epochs         4260. Current error: 0.0886895806. Bit fail 64240.
Epochs         4290. Current error: 0.0887892023. Bit fail 64240.
Epochs         4320. Current error: 0.0887042806. Bit fail 64240.
Epochs         4350. Current error: 0.0887169093. Bit fail 64232.
