          0     1     2     3     4     5     6     7     8     9 
    0   689     0    67     1     8     0   190     6    19     0 
    1     0  1077    15     0     0     0     8     1    33     1 
    2    18    13   854     6     8     0    45    31    56     1 
    3    48     2   446   209    10     1    13    63   188    30 
    4    21     1    10     0   666     1    37    18     5   223 
    5   219     9    98    50    54    50    56    21   294    41 
    6    15     8    90     0    10     0   817    12     5     1 
    7     1     3    26     0    11     0     0   931    24    32 
    8    54    14    87    29    20    10    45    31   615    69 
    9    13     2     7     8   183     1     3    52    20   720 
