          0     1     2     3     4     5     6     7     8     9 
    0   934     0     7     3     2     4    18     4     7     1 
    1     0  1095     6     2     0     4    10     1    17     0 
    2    18     4   904    19     8     4    34    11    25     5 
    3     2     0    31   826     0    93     6    20    25     7 
    4     3     0    16     5   879     2    14     8    10    45 
    5    14     3    17    42    16   725    16    12    32    15 
    6    12     2    23     3    13    33   864     6     2     0 
    7     0     6    26    11     5     4     2   921     5    48 
    8    19    10    28    20    28    60    14    16   748    31 
    9    10     4    11    24    40     7     0    31    10   872 
