          0     1     2     3     4     5     6     7     8     9 
    0   974     0     1     0     0     2     1     1     1     0 
    1    18  1093     5     0     0     3     4     0    12     0 
    2   125    20   847     8     6     1     4     7    12     2 
    3   101     2    27   848     1    15     2     3     9     2 
    4    78     1     3     6   864     1     4     3     5    17 
    5    95     2     2    53     7   704     9     3    14     3 
    6    72     3    11     7    13    19   831     0     2     0 
    7    58     8    25     9     7    11     1   898     2     9 
    8   193     5     7    14    11    31    14     6   692     1 
    9   136     8     3     8    44    10     1    29    17   753 
