          0     1     2     3     4     5     6     7     8     9 
    0   959     0     0     0     0     1     8     7     4     1 
    1    74  1025     8     7     1     2     6     1     9     2 
    2   112    17   849     8     8     1     9    11    17     0 
    3    87    10    24   840     2     7    12     9    13     6 
    4    84     0     4     2   865     0    17     5     2     3 
    5   158    10     8    58    27   564    16    20    19    12 
    6   150     4    17    10    14    29   617   111     6     0 
    7   180    11   178    39    16     0   247   334     0    23 
    8   324     6    10    11    10    47    31    17   512     6 
    9   332     0   113     8    48     8   275    19     5   201 
