gleber@redis04:~/ann$ ./docr 10000 150 | tee epochs_150hu.txt
Loading data...
Will write to: digits_10000ep_60000ts_3l_150hu_.net
Creating network.
Training network.
Max epochs    10000. Desired error: 0.0049999999.
Epochs          107. Current error: 0.0841522738. Bit fail 55698.
Epochs          108. Current error: 0.1122803539. Bit fail 72542.
Epochs          109. Current error: 0.0839660913. Bit fail 55589.
Epochs          110. Current error: 0.1190876812. Bit fail 76725.
Epochs          111. Current error: 0.0913391262. Bit fail 60025.
Epochs          112. Current error: 0.1191641763. Bit fail 76712.
Epochs          113. Current error: 0.0909194946. Bit fail 59750.
Epochs          114. Current error: 0.1179617569. Bit fail 75967.
Epochs          115. Current error: 0.0916330889. Bit fail 60150.
Epochs          116. Current error: 0.1168231517. Bit fail 75291.
Epochs          117. Current error: 0.0903397053. Bit fail 59336.
Epochs          118. Current error: 0.1199579462. Bit fail 76880.
Epochs          119. Current error: 0.0839410722. Bit fail 55506.
Epochs          120. Current error: 0.1239810437. Bit fail 79640.
Epochs          121. Current error: 0.0914979428. Bit fail 60060.
Epochs          122. Current error: 0.1303186566. Bit fail 85183.
Epochs          123. Current error: 0.0939348862. Bit fail 62737.
Epochs          124. Current error: 0.1158447117. Bit fail 74913.
Epochs          125. Current error: 0.0912267566. Bit fail 59912.
Epochs          126. Current error: 0.1134552360. Bit fail 73287.
Epochs          127. Current error: 0.0881828964. Bit fail 58136.
Epochs          128. Current error: 0.1036838666. Bit fail 67405.
Epochs          129. Current error: 0.0850276500. Bit fail 58528.
Epochs          130. Current error: 0.1011242419. Bit fail 67958.
Epochs          131. Current error: 0.0840405747. Bit fail 55562.
Epochs          132. Current error: 0.0976804867. Bit fail 63779.
Epochs          133. Current error: 0.0839770883. Bit fail 55560.
Epochs          134. Current error: 0.0972244516. Bit fail 63498.
Epochs          135. Current error: 0.0839826912. Bit fail 55555.
Epochs          136. Current error: 0.0975844637. Bit fail 63732.
Epochs          137. Current error: 0.0892928690. Bit fail 58766.
Epochs          138. Current error: 0.1039688364. Bit fail 67572.
Epochs          139. Current error: 0.0839887857. Bit fail 55573.
Epochs          140. Current error: 0.1014365628. Bit fail 66047.
Epochs          141. Current error: 0.0849615037. Bit fail 56779.
Epochs          142. Current error: 0.1089453697. Bit fail 70560.
Epochs          143. Current error: 0.0868893787. Bit fail 59739.
Epochs          144. Current error: 0.1067352891. Bit fail 69240.
Epochs          145. Current error: 0.0864738375. Bit fail 57086.
Epochs          146. Current error: 0.1085086763. Bit fail 70305.
Epochs          147. Current error: 0.0868537873. Bit fail 57279.
Epochs          148. Current error: 0.1102633700. Bit fail 71400.
Epochs          149. Current error: 0.0873134360. Bit fail 57493.
Epochs          150. Current error: 0.1115627438. Bit fail 72146.
Epochs          151. Current error: 0.0876216814. Bit fail 57791.
Epochs          152. Current error: 0.1129506156. Bit fail 72999.
Epochs          153. Current error: 0.0878703743. Bit fail 57927.
Epochs          154. Current error: 0.1146747917. Bit fail 74037.
Epochs          155. Current error: 0.0880143717. Bit fail 57978.
Epochs          156. Current error: 0.1159582660. Bit fail 74801.
