          0     1     2     3     4     5     6     7     8     9 
    0   879     2    33     0     2     4    46     4    10     0 
    1     0  1040    13    21     0     0     7     2    52     0 
    2    34    23   872    31     7     3    33    18    11     0 
    3    18     9    92   768     1    25    10    51    28     8 
    4    30     9    28     0   728     1    38     5    12   131 
    5   113    12    30    85    24   519    25    32    34    18 
    6    31    17    73     0     2     6   826     0     3     0 
    7     2    13    21     3     6     1     1   913    11    57 
    8    74    26    84    95    23    72    19    39   514    28 
    9    25    10     9    13   129     3     2   126    16   676 
